Time,Temperature,Humidity
2020-10-29 07:07:01,23.1,47.7
2020-10-29 07:08:01,23.1,47.7
2020-10-29 07:09:05,23.1,47.7
2020-10-29 07:10:09,23.0,47.6
2020-10-29 07:11:02,23.1,47.7
2020-10-29 07:12:02,23.0,47.8
2020-10-29 07:13:01,23.0,47.7
2020-10-29 07:14:01,23.1,47.7
2020-10-29 07:15:05,23.0,47.6
2020-10-29 07:16:04,23.0,47.6
2020-10-29 07:17:02,23.0,47.6
2020-10-29 07:18:01,23.1,47.6
2020-10-29 07:19:04,23.0,47.5
2020-10-29 07:20:04,23.0,47.5
2020-10-29 07:21:02,23.0,47.5
2020-10-29 07:22:04,23.0,47.5
2020-10-29 07:23:02,23.0,47.5
2020-10-29 07:24:02,23.0,47.5
2020-10-29 07:25:14,23.0,47.5
2020-10-29 07:26:02,23.0,47.5
2020-10-29 07:27:02,23.0,47.5
2020-10-29 07:28:04,23.0,47.6
2020-10-29 07:29:02,23.0,47.5
2020-10-29 07:30:14,23.0,47.6
2020-10-29 07:31:02,23.0,47.5
2020-10-29 07:32:01,23.0,47.5
2020-10-29 07:33:01,23.0,47.7
2020-10-29 07:34:02,23.0,47.5
2020-10-29 07:35:05,23.1,47.6
2020-10-29 07:36:01,23.0,47.5
2020-10-29 07:37:04,23.0,47.5
2020-10-29 07:38:04,23.1,47.6
2020-10-29 07:39:04,23.1,47.6
2020-10-29 07:40:02,23.0,47.5
2020-10-29 07:41:02,23.0,47.5
2020-10-29 07:42:02,23.0,47.4
2020-10-29 07:43:02,23.1,47.6
2020-10-29 07:44:04,23.0,47.5
2020-10-29 07:45:10,23.0,47.5
2020-10-29 07:46:01,23.0,47.4
2020-10-29 07:47:02,23.0,47.4
2020-10-29 07:48:04,23.0,47.4
2020-10-29 07:49:02,23.0,47.4
2020-10-29 07:50:02,23.0,47.5
2020-10-29 07:51:09,23.1,47.4
2020-10-29 07:52:02,23.0,47.4
2020-10-29 07:53:02,23.0,47.3
2020-10-29 07:54:02,23.1,47.4
2020-10-29 07:55:07,23.0,47.3
2020-10-29 07:56:02,23.0,47.3
2020-10-29 07:57:02,23.0,47.3
2020-10-29 07:58:02,23.0,47.4
2020-10-29 07:59:04,23.0,47.3
2020-10-29 08:00:10,,
2020-10-29 08:01:09,23.0,47.3
2020-10-29 08:02:02,23.1,47.4
2020-10-29 08:03:02,23.0,47.4
2020-10-29 08:04:02,23.1,47.4
2020-10-29 08:05:14,23.0,47.2
2020-10-29 08:06:01,23.0,47.2
2020-10-29 08:07:02,23.0,47.2
2020-10-29 08:08:02,23.0,47.3
2020-10-29 08:09:02,23.0,47.4
2020-10-29 08:10:14,23.0,47.4
2020-10-29 08:11:02,23.0,47.4
2020-10-29 08:12:01,23.1,47.5
2020-10-29 08:13:05,23.1,47.4
2020-10-29 08:14:02,23.1,47.4
2020-10-29 08:15:09,23.1,47.4
2020-10-29 08:16:02,23.1,47.4
2020-10-29 08:17:02,23.1,47.4
2020-10-29 08:18:02,23.0,47.3
2020-10-29 08:19:01,23.1,47.4
2020-10-29 08:20:02,23.1,47.4
2020-10-29 08:21:15,23.1,47.4
2020-10-29 08:22:04,23.1,47.5
2020-10-29 08:23:02,23.1,47.5
2020-10-29 08:24:02,23.1,47.5
2020-10-29 08:25:19,23.1,47.4
2020-10-29 08:26:02,23.1,47.4
2020-10-29 08:27:02,23.1,47.4
2020-10-29 08:28:02,23.1,47.4
2020-10-29 08:29:02,23.1,47.4
2020-10-29 08:30:07,23.1,47.3
2020-10-29 08:31:01,23.1,47.3
2020-10-29 08:32:01,23.1,47.3
2020-10-29 08:33:01,23.1,47.3
2020-10-29 08:34:02,23.1,47.3
2020-10-29 08:35:05,23.1,47.4
2020-10-29 08:36:01,23.1,47.4
2020-10-29 08:37:02,23.1,47.4
2020-10-29 08:38:01,23.1,47.4
2020-10-29 08:39:02,23.1,47.4
2020-10-29 08:40:15,23.1,47.4
2020-10-29 08:41:02,23.1,47.4
2020-10-29 08:42:01,23.1,47.4
2020-10-29 08:43:02,23.1,47.4
2020-10-29 08:44:02,23.1,47.4
2020-10-29 08:45:07,23.1,47.4
2020-10-29 08:46:02,23.1,47.4
2020-10-29 08:47:01,23.1,47.3
2020-10-29 08:48:04,23.1,47.3
2020-10-29 08:49:07,23.1,47.4
2020-10-29 08:50:04,23.1,47.4
2020-10-29 08:51:02,23.1,47.3
2020-10-29 08:52:02,23.1,47.3
2020-10-29 08:53:04,23.1,47.3
2020-10-29 08:54:02,23.1,47.3
2020-10-29 08:55:02,23.1,47.3
2020-10-29 08:56:02,23.1,47.3
2020-10-29 08:57:05,23.2,47.4
2020-10-29 08:58:04,23.2,47.3
2020-10-29 08:59:02,23.1,47.3
2020-10-29 09:00:17,23.2,47.4
2020-10-29 09:01:02,23.2,47.3
2020-10-29 09:02:02,23.2,47.3
2020-10-29 09:03:04,23.2,47.4
2020-10-29 09:04:02,23.2,47.4
2020-10-29 09:05:04,23.2,47.3
2020-10-29 09:06:02,23.2,47.3
2020-10-29 09:07:02,23.2,47.2
2020-10-29 09:08:02,23.2,47.3
2020-10-29 09:09:02,23.2,47.3
2020-10-29 09:10:07,23.2,47.3
2020-10-29 09:11:01,23.2,46.7
2020-10-29 09:12:02,23.2,47.2
2020-10-29 09:13:02,23.2,47.2
2020-10-29 09:14:02,23.2,47.3
2020-10-29 09:15:04,23.2,47.2
2020-10-29 09:16:04,23.2,47.2
2020-10-29 09:17:01,23.2,47.2
2020-10-29 09:18:04,23.2,47.5
2020-10-29 09:19:02,23.2,47.5
2020-10-29 09:20:04,23.3,47.6
2020-10-29 09:21:02,23.3,47.6
2020-10-29 09:22:02,23.3,47.7
2020-10-29 09:23:02,23.3,47.6
2020-10-29 09:24:02,23.3,47.6
2020-10-29 09:25:22,23.3,47.3
2020-10-29 09:26:01,23.3,47.3
2020-10-29 09:27:09,23.3,47.5
2020-10-29 09:28:05,23.4,47.7
2020-10-29 09:29:01,23.3,47.7
2020-10-29 09:30:05,23.3,47.7
2020-10-29 09:31:02,23.3,47.7
2020-10-29 09:32:02,23.3,47.7
2020-10-29 09:33:02,23.3,47.9
2020-10-29 09:34:06,23.3,47.7
2020-10-29 09:35:19,23.3,47.8
2020-10-29 09:36:02,23.3,47.8
2020-10-29 09:37:02,23.3,47.8
2020-10-29 09:38:02,23.3,47.8
2020-10-29 09:39:02,23.3,47.9
2020-10-29 09:40:19,23.3,47.8
2020-10-29 09:41:02,23.3,47.8
2020-10-29 09:42:04,23.3,47.8
2020-10-29 09:43:02,23.3,47.8
2020-10-29 09:44:02,23.3,47.7
2020-10-29 09:45:02,23.3,47.9
2020-10-29 09:46:01,23.3,48.3
2020-10-29 09:47:02,23.3,49.1
2020-10-29 09:48:02,23.3,49.7
2020-10-29 09:49:04,23.3,51.2
2020-10-29 09:50:02,23.3,51.4
2020-10-29 09:51:02,23.3,51.9
2020-10-29 09:52:02,23.3,53.0
2020-10-29 09:53:02,23.3,52.9
2020-10-29 09:54:02,23.3,53.5
2020-10-29 09:55:25,,53.5
2020-10-29 09:56:01,,53.5
2020-10-29 09:57:02,,53.3
2020-10-29 09:58:04,,53.2
2020-10-29 09:59:02,,53.2
2020-10-29 10:00:04,,53.2
2020-10-29 10:01:02,,53.2
2020-10-29 10:02:02,,
2020-10-29 10:03:02,,53.1
2020-10-29 10:04:02,,
2020-10-29 10:05:04,,52.5
2020-10-29 10:06:02,,52.5
2020-10-29 10:07:04,,52.2
2020-10-29 10:08:02,,52.2
2020-10-29 10:09:02,,52.0
2020-10-29 10:10:04,,51.9
2020-10-29 10:11:02,,51.9
2020-10-29 10:12:02,,51.9
2020-10-29 10:13:02,,51.8
2020-10-29 10:14:02,,51.8
2020-10-29 10:15:02,,51.7
2020-10-29 10:16:04,,51.7
2020-10-29 10:17:02,23.2,51.6
2020-10-29 10:18:01,,51.6
2020-10-29 10:19:01,,51.6
