#group,true,true,true
#datatype,dateTime:RFC3339,double,double
#default,_Time,,
,Time,Temperature,Humidity
,2021-12-31T06:08:02,23.1,43.5
,2021-12-31T06:09:04,23.1,43.5
,2021-12-31T06:10:02,23.1,
,2021-12-31T06:11:09,23.1,43.5
,2021-12-31T06:12:02,23.1,43.5
,2021-12-31T06:13:09,23.1,43.5
,2021-12-31T06:14:04,23.1,43.5
,2021-12-31T06:15:17,23.1,43.5
,2021-12-31T06:16:02,23.1,43.5
,2021-12-31T06:17:06,23.1,43.5
,2021-12-31T06:18:02,23.1,43.5
,2021-12-31T06:19:02,23.1,43.6
,2021-12-31T06:20:02,23.1,43.5
,2021-12-31T06:21:05,23.1,43.6
,2021-12-31T06:22:01,23.1,43.6
,2021-12-31T06:23:01,23.1,43.7
,2021-12-31T06:24:02,23.1,43.8
,2021-12-31T06:25:20,23.1,43.7
,2021-12-31T06:26:01,23.1,43.6
,2021-12-31T06:27:02,23.1,43.7
,2021-12-31T06:28:02,23.1,43.7
,2021-12-31T06:29:02,23.1,43.7
,2021-12-31T06:30:04,23.1,43.7
,2021-12-31T06:31:07,23.1,43.7
,2021-12-31T06:32:02,23.1,43.8
,2021-12-31T06:33:04,23.1,43.7
,2021-12-31T06:34:02,23.1,43.7
,2021-12-31T06:35:12,23.1,43.7
,2021-12-31T06:36:02,23.0,43.7
,2021-12-31T06:37:02,23.1,43.7
,2021-12-31T06:38:10,23.1,43.7
,2021-12-31T06:39:06,23.1,43.7
,2021-12-31T06:40:01,23.1,43.7
,2021-12-31T06:41:02,23.1,43.7
,2021-12-31T06:42:05,23.1,43.7
,2021-12-31T06:43:04,23.1,43.7
,2021-12-31T06:44:02,23.1,43.7
,2021-12-31T06:45:04,23.1,43.6
,2021-12-31T06:46:07,23.1,43.7
,2021-12-31T06:47:02,23.1,43.6
,2021-12-31T06:48:02,23.0,43.6
,2021-12-31T06:49:04,23.1,43.6
,2021-12-31T06:50:05,23.1,43.6
,2021-12-31T06:51:04,23.1,43.7
,2021-12-31T06:52:02,23.1,43.7
,2021-12-31T06:53:02,23.1,43.7
,2021-12-31T06:54:01,23.1,43.7
,2021-12-31T06:55:02,23.1,
,2021-12-31T06:56:04,23.1,43.7
,2021-12-31T06:57:02,23.0,43.6
,2021-12-31T06:58:02,23.0,43.7
,2021-12-31T06:59:02,23.1,43.8
,2021-12-31T07:00:04,23.1,43.7
,2021-12-31T07:01:02,23.0,43.7
,2021-12-31T07:02:04,23.1,43.8
,2021-12-31T07:03:02,23.1,43.8
,2021-12-31T07:04:02,23.0,43.7
,2021-12-31T07:05:27,23.0,
,2021-12-31T07:06:07,23.1,43.7
,2021-12-31T07:07:02,23.1,43.7
,2021-12-31T07:08:01,23.1,43.8
,2021-12-31T07:09:04,23.1,43.8
,2021-12-31T07:10:02,23.0,43.7
,2021-12-31T07:11:09,23.0,43.7
,2021-12-31T07:12:02,23.1,43.7
,2021-12-31T07:13:02,23.0,43.7
,2021-12-31T07:14:02,23.1,43.7
,2021-12-31T07:15:04,23.1,43.8
,2021-12-31T07:16:05,23.1,43.8
,2021-12-31T07:17:04,23.1,43.8
,2021-12-31T07:18:02,23.1,43.8
,2021-12-31T07:19:07,23.1,43.8
,2021-12-31T07:20:04,23.1,43.8
,2021-12-31T07:21:01,23.1,43.8
,2021-12-31T07:22:02,23.1,43.8
,2021-12-31T07:23:02,23.1,43.8
,2021-12-31T07:24:01,23.1,43.8
,2021-12-31T07:25:09,23.1,43.8
,2021-12-31T07:26:02,23.1,43.8
,2021-12-31T07:27:01,23.1,43.8
,2021-12-31T07:28:02,23.1,43.8
,2021-12-31T07:29:02,23.1,43.8
,2021-12-31T07:30:02,23.2,43.8
,2021-12-31T07:31:02,23.2,43.8
,2021-12-31T07:32:02,23.2,43.8
,2021-12-31T07:33:01,23.2,43.8
,2021-12-31T07:34:07,23.2,43.8
,2021-12-31T07:35:05,23.2,43.7
,2021-12-31T07:36:04,23.2,43.7
,2021-12-31T07:37:01,23.2,43.7
,2021-12-31T07:38:02,23.2,43.8
,2021-12-31T07:39:05,23.2,43.8
,2021-12-31T07:40:01,23.1,43.7
,2021-12-31T07:41:02,23.2,43.8
,2021-12-31T07:42:07,23.1,43.7
,2021-12-31T07:43:02,23.1,43.7
,2021-12-31T07:44:04,23.2,43.8
,2021-12-31T07:45:02,23.2,43.7
,2021-12-31T07:46:06,23.1,43.7
,2021-12-31T07:47:01,23.1,43.7
,2021-12-31T07:48:02,23.2,43.7
,2021-12-31T07:49:05,23.1,43.7
,2021-12-31T07:50:04,23.1,43.7
,2021-12-31T07:51:02,23.1,43.7
,2021-12-31T07:52:02,23.1,43.7
,2021-12-31T07:53:02,23.1,43.7
,2021-12-31T07:54:04,23.1,43.7
,2021-12-31T07:55:12,23.1,43.7
,2021-12-31T07:56:02,23.1,43.7
,2021-12-31T07:57:05,23.1,43.7
,2021-12-31T07:58:01,23.1,43.7
,2021-12-31T07:59:07,23.1,43.7
,2021-12-31T08:00:02,23.1,43.7
,2021-12-31T08:01:04,23.1,43.8
,2021-12-31T08:02:02,23.1,43.8
,2021-12-31T08:03:02,23.1,43.8
,2021-12-31T08:04:02,23.1,43.8
,2021-12-31T08:05:14,23.1,43.8
,2021-12-31T08:06:02,23.1,43.8
,2021-12-31T08:07:12,23.1,43.8
,2021-12-31T08:08:02,23.1,43.8
,2021-12-31T08:09:02,23.1,43.8
,2021-12-31T08:10:04,23.1,43.8
,2021-12-31T08:11:04,23.1,43.8
,2021-12-31T08:12:02,23.1,43.8
,2021-12-31T08:13:04,23.1,43.8
,2021-12-31T08:14:01,23.1,43.8
,2021-12-31T08:15:05,23.1,43.8
,2021-12-31T08:16:09,23.1,43.7
,2021-12-31T08:17:02,23.1,43.7
,2021-12-31T08:18:02,23.1,43.7
,2021-12-31T08:19:02,23.1,43.7
,2021-12-31T08:20:06,23.1,43.7
,2021-12-31T08:21:02,23.1,43.7
,2021-12-31T08:22:02,23.1,43.8
,2021-12-31T08:23:02,23.1,43.8
,2021-12-31T08:24:02,23.1,43.7
,2021-12-31T08:25:04,23.1,43.8
,2021-12-31T08:26:02,23.1,43.8
,2021-12-31T08:27:07,23.1,43.8
,2021-12-31T08:28:01,23.1,43.9
,2021-12-31T08:29:02,23.1,44.0
,2021-12-31T08:30:05,23.1,44.0
,2021-12-31T08:31:04,23.1,44.0
,2021-12-31T08:32:02,23.1,
,2021-12-31T08:33:02,23.1,44.0
,2021-12-31T08:34:02,23.1,44.0
,2021-12-31T08:35:01,23.1,44.0
,2021-12-31T08:36:02,23.1,44.0
,2021-12-31T08:37:04,23.1,44.0
,2021-12-31T08:38:02,23.1,44.0
,2021-12-31T08:39:02,23.1,43.8
,2021-12-31T08:40:09,23.1,43.8
,2021-12-31T08:41:02,23.1,43.8
